unit_id,time_id,area_id,strata,indicator,weight,sex,age,car_access
202100346,2021,W02000029,W06000003,0.0,0.581961437768998,2,83.0,0
202100347,2021,W02000034,W06000003,0.0,0.839471210867365,1,73.0,1
202100348,2021,W02000031,W06000003,0.0,2.24815229242778,1,40.0,0
202100349,2021,W02000031,W06000003,0.0,1.45790000743322,1,54.0,1
202100350,2021,W02000028,W06000003,0.0,0.97789757823618,2,60.0,1
202100351,2021,W02000029,W06000003,0.0,0.711359631193112,2,32.0,1
202100352,2021,W02000030,W06000003,0.0,0.910206939048108,2,56.0,1
202100353,2021,W02000031,W06000003,0.0,0.59546580217132,1,59.0,1
202100354,2021,W02000033,W06000003,0.0,0.485724607916306,1,62.0,1
202100355,2021,W02000032,W06000003,0.0,0.521989767577652,2,51.0,1
202100356,2021,W02000032,W06000003,0.0,0.504088542610447,2,74.0,1
202100357,2021,W02000029,W06000003,0.0,1.45790000743322,1,54.0,1
202100358,2021,W02000029,W06000003,0.0,1.08824187429443,1,66.0,1
202100359,2021,W02000028,W06000003,0.0,0.581961437768998,2,79.0,1
202100360,2021,W02000036,W06000003,0.0,0.521989767577652,2,54.0,1
202100361,2021,W02000039,W06000003,0.0,2.24815229242778,1,43.0,1
202100362,2021,W02000027,W06000003,0.0,1.33979565007739,2,39.0,1
202100363,2021,W02000032,W06000003,0.0,0.504088542610447,2,74.0,1
202100364,2021,W02000037,W06000003,0.0,0.57322313784899,2,48.0,0
202100365,2021,W02000032,W06000003,0.0,0.48894878911809,2,60.0,1
202100366,2021,W02000029,W06000003,0.0,1.83510917821479,2,28.0,1
202100367,2021,W02000028,W06000003,0.0,0.581961437768998,2,77.0,1
202100368,2021,W02000040,W06000003,0.0,0.521989767577652,2,50.0,1
202100369,2021,W02000034,W06000003,1.0,1.42195290670976,1,29.0,1
202100370,2021,W02000033,W06000003,0.0,1.163922875538,2,87.0,0
202100371,2021,W02000037,W06000003,0.0,0.544120937147214,1,67.0,1
